department,total_order_lines,reordered_lines,reorder_rate
produce,9888378,6432596,0.6505
dairy eggs,5631067,3773723,0.6702
snacks,3006412,1727075,0.5745
beverages,2804175,1832952,0.6537
frozen,2336858,1268058,0.5426
pantry,1956819,679799,0.3474
bakery,1225181,769880,0.6284
canned goods,1114857,511317,0.4586
deli,1095540,666231,0.6081
dry goods pasta,905340,418466,0.4622
household,774652,312447,0.4033
meat seafood,739238,420349,0.5686
breakfast,739069,414877,0.5614
personal care,468693,150855,0.3219
babies,438743,253453,0.5777
international,281155,103938,0.3697
alcohol,159294,90992,0.5712
pets,102221,61594,0.6026
missing,77396,30519,0.3943
other,38086,15503,0.4071
bulk,35932,20736,0.5771
